,Location,Lat,Long,Positive,Negative,Neutral
0,LONDON,51.5175,-0.0937,34.146341463414636,24.390243902439025,41.46341463414634
1,OXFORD,51.83069,-1.30971,31.11111111111111,23.333333333333332,45.55555555555556
2,PHILLY,39.953594,-75.16723,22.80701754385965,24.56140350877193,52.63157894736842
3,BERLIN,52.51452,13.39715,15.09433962264151,11.320754716981131,73.58490566037736
4,MUNICH,48.14256,11.54917,10.0,5.0,85.0
5,FRANKFURT,50.11720271,8.628588541,3.6363636363636362,3.6363636363636362,92.72727272727273
6,SAN DIEGO,32.71774056,-117.1596442,27.868852459016395,21.311475409836067,50.81967213114754
7,PARIS,48.82674622,2.260289197,22.5,15.0,62.5
8,LYON,45.75974662,4.83185897,9.473684210526315,3.1578947368421053,87.36842105263158
9,MARSELLIE,43.28439293,5.371163526,13.48314606741573,6.741573033707865,79.7752808988764
10,EDINBURGH,55.95361877,-3.194213428,41.1764705882353,19.607843137254903,39.21568627450981
11,IRELAND,52.69875133,-8.901858208,31.57894736842105,23.157894736842106,45.26315789473684
12,CANADA,43.80200901,-79.34374219,26.865671641791046,28.35820895522388,44.776119402985074
13,MELBOURNE,-37.81482003,144.9597556,26.027397260273972,20.54794520547945,53.42465753424658
14,SYNDEY,-33.79695133,151.1794242,25.35211267605634,28.169014084507044,46.478873239436616
